variable,value
Column1,"K’a ri’ xekäm ri kajawa’ ri Sotz’il, Tuquche’"
Column1,"Wawe’ xtintz’ib’aj kan achike xb’anatäj töq xe’ok chi ajawarem ri qamama’ Jun Toj, Wuqu’ B’atz’"
Column1,"K’ate k’a xe’ajawär ri qamama’ ri Jun Toj, Wuqu’ B’atz’"
Column1,Ri ajaw Sitan Tijax Kab’laj ja ri’ rutata’ ri Wuqu’ B’atz’
Column1,"Töq xkichäp kajawarem  qamama’, k’ate xkitïk jun b’ey chïk jun tinamït chi ri’ pa Chi Awär Tz’upitaq’aj"
Column1,"Wawe’ xtintz’ib’aj kan kib’i’ ri taq tinamït ri xkich’äk, töq najin nq’aq’är ri ajaw K’iqab’:"
Column1,"Jalïk, Wita’um, Lajub’, B’elej Kwijay, Xub’ab’äl, Q’aq’al I’x, Jul Tukur, K’amaq’equm, Chi K’otuq, Chi Kaqyuq’, Koja’, Ajtz’uruya’, Sutum, Ch’ixnal, Molob’aq, Toxkomine’, Tujalajay, Uchab’ajay, Ajch’umilajay, Lamaq’i’, Kumätz, Rapaq, Chi Chäj, Uxa’, Ajalkil, Molomïk Ab’äj, Nïm Poqom, Nakuxkux, B’ulb’ux Ya’, Pan Aj, Chi Jolom, Q’eqasiwan, Q’uq’ujuyu’, K’axk’an, Wuqu’ Siwan, Xe Rajapit"
Column1,Wawe’ xtintz’ib’aj achike xb’anatäj töq xtikïr ri ch’a’oj chrij ri ajaw K’iqab’
Column1,Xtikïr ri ch’a’oj chrij ri ajaw K’iqab’ kuma ri K’iche’ winäq
Column1,Xek’oje’ kaji’ ruk’ajol ri ajaw K’iqab’
Column1,"Ja re’ k’a kib’i’ ri kajawal, kib’i’ ri nima’q achi’a’ xekamisäx;  Jerech,  Taq’unun, Xjutz’uy, f, Asakot, Kamachat kib’i’"
Column1,"Töq xelaj ri ajaw K’iqab’, töq xuya’ ri’ chi ke ri achija’, xutzijob’ej ruxit, rupwäq"
Column1,"Ke re’ k’a xb’anatäj, ja ri nima’q achi’a’ qitzij ri ruxe’ ri ch’a’oj"
Column1,"K’a naqaj töq xutzin re ch’a’oj re’, xtikïr jun chïk chi kij qamama’"
Column1,Xtintz’ib’aj kan ri ruxe’ re ch’a’oj re’ wawe’
Column1,K’a ri’ xtikïr jun chïk ch’a’oj chi kij ajawa’
Column1,Wawe’ xtintz’ib’aj töq xkipixab’aj ki’ ri ajawa’
Column1, Kani k’a xel pe rusamajel ri ajaw K’iqab’
Column1,"rusamajel, ri ajtaqol rutzij ajaw K’iqab’ xepixab’an chaq’a’, pan ewäl xetzijon"
Column1,"Wawe’  xtintz’ib’aj kan achike xb’anatäj töq xepe el Chi Awär, töq xkiya’ kan kitinamit chi ri’"
Column1,"Chi ri q’ij oxlajuj Iq’, xtole’ kan ri tinamït Chi Awär"
Column1,Man xe’ucheb’ëx ta ri K’iche’ winäq
Column1,"Ke re’ k’a xkitïk, xkib’än kan ri tinamït chi Iximche’ qamama’ ri’, ïx nuk’ajol"
Column1,Ja re’ ruxe’el ri k’ak’a’ k’ayewal ri’
Column1,"K’a ri’ k’a Jun Toj, Wuqu’ B’atz’ xekijäch ri wuqamaq’, ri nima’q achi’a’ ri xetzuqu kichin"
Column1,Wawe’ xtintz’ib’aj kan achike xb’anatäj töq xekäm ri ajawa’ ri’
Column1,Ja k’a nab’ey ri ajaw Jun Toj xkäm
Column1,"K’a ri’ xajawär chïk k’a ri ajaw Lajuj Aj rub’i’, ri nab’ey ruk’ajol ri ajaw Jun Toj"
Column1,"K’a ri’ chïk k’a xajawär ri ajaw Oxlajuj Tz’i’ rub’i’, ri nab’ey ruk’ajol ajaw Wuqu’ B’atz’"
Column1,"Ja k’a ri ajaw, qamama’ Oxlajuj Tz’i’, ke re’ na wi  ri Lajuj Aj (Nima_Aj) qitzij nxib’in kuchuq’a’ töq xe’achijïr"
Column1,K’a ri’ xkäm chïk k’a ri ajaw Lajuj Aj
Column1,"K’a ri’ xkäm ri nawal ajaw, ri nïm ajaw, K’iqab’ chi la’ kuk’in ri K’iche’"
Column1,Kipeteb’al wawe’:
Column1, K’a ri’ xepe ri ajlab’al K’iche’
Column1,Chi ri q’ij lajuj Tz’i’ xkiya’ chi kiwäch ri K’iche’ winäq chi xtikik’waj ri lab’al chi ri’ k’a chi Iximche’
Column1, K’a ri xkikawuj ki’ ri Kaqchikel achija’
Column1,Kani xel jun k’amol b’ey
Column1,Wawe’ xtintz’ib’aj kikamib’al ri K’iche’ winäq
Column1,"Qitzij töq xpakäk ruxe’ kaj, töq xpakapo’ pe, xeqa pe ri K’iche’ winäq chuwi’ juyu’"
Column1,"Wawe’ xtintz’ib’aj kan rukamib’al ri ajaw Ich’al Amolak , kikamib’al ri ajawa’ Lajuj No’j, Chikumkuwat"
Column1,Xek’oje’ ri Aqajal winäq chuwi’ tinamït
Column1,Kani k’a xekikot ajawa’ töq xel pe rutzijol ri ajaw Ich’al
Column1,K’a ri’ xel pe ajaw Ich’al
Column1," Xa k’a e kitz’elawach’i’in chïk,  e koyob’en chïk töq xe’apon pa tinamït chi Iximche’"
Column1,"Wawe’ xtintz’ib’aj kan kib’i’ ri rachijil, ri rachb’il, ri rachlab’al ri xekäm ruk’in"
Column1,"K’a ri’ ri Kaqchikel ajawa’, ri Oxlajuj Tz’i’, Kab’lajuj Tijax xkik’waj ri lab’al chi ke ri kitinamit ri Aqajal winäq"
Column1,Wawe’ xtintz’ib’aj kan achike xb’anatäj töq xekäm ri Ka’oqe’
Column1," Ri Ka’oqe’ xek’oje’ pa kitinamit, Raxtun Ya’"
Column1,"Wawe’ xtintz’ib’aj achike xb’anatäj töq xb’an yujuj, ch’aronïk ruma lab’al, chi Iximche’"
Column1," Xe ri ulew, ri tiko’n ja ri ruxe’el ri ch’a’oj ri’"
Column1,"Xapon rutzijol ri k’ayewal kuk’in ri ajawa’ Oxlajuj Tz’i’, Kab’lajuj Tijax"
Column1,K’a ri’ xch’ike’ ri q’ij richin ri yujuj
Column1,Wawe’ xtintz’ib’aj kan achike xb’anatäj töq xekäm ri Tuquche’
Column1,"Qitzij töq xpakatäj, töq nipakapo’ ruxe’ kaj chi julajuj Aj, xeb’os pe ri Tuquche’ ch’aqa tinamït"
Column1,Rachk’amol b’ey ruk’in ri ajpop achi’ Sinajitoj ja ri’ Chukuy B’atz’in
Column1,K’a ri’ xb’os chïk k’a juch’ob’ ajlab’al pa nimab’ey chi Nimak’otoj
Column1,"Töq xpe k’a ri ramonela’ chi kij ri Tuquche’, kani k’a xkikajmaj"
Column1,"Rujulajwinäq q’ij chrij ri yujuj, jun b’ey chïk xerajkäm chïk ri aj Tib’ak’oy kuma ri K’iche’ winäq"
Column1," Ruwaqlajwinäq q’ij chrij ri yujuj, xkäm ri ajaw Sinajitoj"
Column1,K’a ri’ lajuj q’ij chuxe’ rutz’aqatirisanik jun juna’ chrij ri yujuj xjitz’äx ri ajaw ajtzij winäq aj Moxnay
Column1, Chi waqxaqi’ Aj xel juna’ chrij ri yujuj
Column1,"Chuqa’ ri Tz’utujile’ ri xkik’ül ri winaqi’ Tuquche’ ri yek’ase’ chrij ri yujuj, xkinojij chi ütz ta nkitojtob’ej  kich’a’, kipokob’ kuk’in ri Kaqchikela’"
Column1, Chi wo’o’ Aj xel ruka’n juna’ chrij ri rub’anik yujuj
Column1, Chi ka’i’ Aj xel oxi’ juna’ chrij rub’anik yujuj
Column1,Ja chi ri q’ij oxi’ Kej xb’an chïk yujuj K’iche’
Column1, Chi kab’lajuj Aj xel rukaj juna’ chrij ri yujuj
Column1,"Chupam ri ro’ juna’ chrij ri yujuj, xekäm chïk aj Mixku’"
Column1,"K’a ri’ xekäm chïk k’a ri Yaki’,  e aj Xiwiku’, e Mexika"
Column1,"Waqi’ q’ij chuxe’ ri ro’ rujunab’il yujuj, ri Aqajal winäq xeyakatäj jun b’ey chïk"
Column1, Chi ri q’ij b’eleje’ Aj xel wo’o’ juna’ chrij rub’anik yujuj
Column1, Chi ri q’ij waqi’ Aj xel ruwaq juna’ chrij ri yujuj
Column1, Chi oxi’ Aj xel ruwuq juna’ chrij ri yujuj
Column1,Chupam ruwaqxaq juna’ chrij ri yujuj xkäm chïk ri Tz’utujile’ kuma ri aj Xe’ Inup
Column1, Chi oxlajuj Aj xel waqxaqi’ juna’ chrij ri yujuj
Column1, Chi lajuj Aj xel rub’elej juna’ chrij ri yujuj
Column1,"Kab’lajuj q’ij xuxe’ ri rulaj junab’il yujuj,  qamama’ Oxlajuj Tz’i’ xutzin, xujotob’a’ rupoqob’, rochoch, raqän jay, runimajay"
Column1, Chi wuqu’ Aj xel  rulajuj juna’ chrij ri yujuj
Column1, Chi kaji’ Aj xel rujulaj juna’ chrij ri yujuj
Column1, Chi jun Aj xel rukab’laj juna’ chrij ri yujuj
Column1, Chi julajuj Aj k’a xel roxlajuj juna’ chrij ri yujuj
Column1,Chi ri q’ij oxlajuj Tz’ikin xkäm ri ixöq xoqojaw Wo’o’ Kej rub’i’
Column1,"K’a ri’ xe jub’a’ chïk rajowan richin ta nel pe rukajlaj juna’ chrij ri yujuj, töq xkäm ri ajaw Oxlajuj Tz’i’, qamama’"
Column1, Jun Iq’ rub’i’ ri nab’ey ruk’ajol
Column1," Waqi’ Ajmaq rub’i’ ruka’n al, ruka’n ruk’ajol"
Column1," No’j k’a ri rox al, rox ruk’ajol"
Column1," B’eleje’ K’at rub’i’ ri rukaj al, rukaj ruk’ajol"
Column1," Imox ri ro’ al, ro’ ruk’ajol"
Column1, Ri ruwaq ruk’ajol  chuqa’ xaläx pa ri q’ij No’j; No’j ruwaq ruk’ajol
Column1,"Maqu’ Xq’ujay rub’i’ ri xoqojaw, rixjayil ri ajaw Oxlajuj Tz’i’"
Column1,Xek’oje’ ka’i’ chïk ixoqi’ xe’alan
Column1, Chi waqxaqi’ Aj k’a xel rukajlaj juna’ chrij ri yujuj
Column1,K’a ri’ xkäm ri ajaw Kab’lajuj Tijax
Column1, Chi wo’o’ Aj k’a xel rolaj juna’ chrij rub’anik yujuj
Column1,K’a ri’ xajawär chïk k’a ri ajaw Lajuj No’j rub’i’; rija’ ri nab’ey ruk’ajol ri ajaw Kab’lajuj Tijax
Column1,"K’a ri’ xepe ri Yaki’, ri aj Kuluwakan, aj México"
Column1,"K’a ja k’a qitzij xqatz’ët töq xe’apon ri Yaki’, aj Kuluwakan"
Column1, Chi ri q’ij ka’i’ Aj xel ruwaqlaj juna’ chrij rub’anik yujuj
Column1,Chupam re juna’ re’ xok chïk lab’al chi kiwäch K’iche’ winäq
Column1, Chi kab’lajuj Aj xel ruwuqlaj juna’ chrij rub’anik yujuj
Column1, Chi b’eleje’ Aj xel chïk waqxaqlajuj juna’ chrij yujuj
Column1,Chupam re juna’ re’ xe’ik’o chiköpi’ xchechel üt
Column1,"K’a wowinäq q’ij chrij ri xe’ik’o taq uti’,  k’a ri’ xe’ik’o chïk k’a taq sak’"
Column1," K’a b’elejwinäq q’ij, k’a rub’elej ik’ xk’at chi Iximche’"
Column1, Chi waqxaqi’ Aj xel b’eleje’ juna’ chrij ri yujuj
Column1,"Chupam re juna’ re’ xekäm chïk K’iche’ winäq pa Sotz’il Ya’, kuma imama’"
Column1,Jumul chïk k’a xeya’är K’iche’ winäq
Column1," Chi oxi’ Aj k’a xel jumay, juwinäq juna’ chrij rukamik Tuquche’, chrij rub’anik yujuj"
Column1," Ja k’a chi oxlajuj Aj xel chïk nab’ey juna’ rukamay, juwinäq jun juna’ chrij ri yujuj"
Column1," Chupam re juna’ re’ xik’o chïk poqob’, rutem jay, rutem parab’äl chuwi’ Kaqjay ruma ajaw Lajuj No’j"
Column1," Xel k’a ruka’n juna’ rukamay, juwinäq ka’i’ juna’ chrij ri yujuj, chi lajuj Aj xel wi"
Column1,"Chupam re juna’ re’ xekäm chïk K’iche’ winäq kuma qatata’, qamama’"
Column1," Chi wuqu’ Aj xel rox juna’ rukamay yujuj,  xel juwinäq oxi’ juna’ chrij ri rub’anik yujuj"
Column1," Chi kaji’ Aj xel chïk rukaj juna’ rukamay yujuj, xel juwinäq kaji’ juna’ chrij ri yujuj"
Column1,"Chupam ri ro’ juna’ rukamay, ri juwinäq wo’o’ juna’ wawe’ xtikïr ri yawab’il, ri nimaläj yab’il, ïx nuk’ajol"
Column1, Chi jun Aj xel jumay wo’o’ juna’ chrij ri yujuj
Column1,"Chupam re juna’ re’ xyawab’ïx, xeyawäj chi ch’a’k"
Column1,"Kawinäq q’ij chrij ri rutikirib’al, rokem ri yab’il, xekäm qatata’, qamama’"
Column1,"Xa k’a rukab’ij, ka’i’ q’ij chrij, xkäm chïk qatata’  rajpop achin B’alam, ri imama’, ïx nuk’ajol"
Column1,Wawe’ xtintz’ib’aj kan ri kib’i’ imama’ ri xeruk’ajolaj ri ajaw
Column1,Rajpop achin B’alam rub’i’ ri nab’ey ruk’ajol ri ajaw Jun Iq’
Column1,"Ajmaq rub’i’ ruka’n al, ja ruk’ajol kan ri don Pedro Solís"
Column1,"Ja k’a qatata’, Francisco, rajpop achin Tz’i’an ri rukaj al, rukaj ruk’ajol ri ajaw Jun Iq’"
Column1,"B’alam ri ro’ al, ro’ ruk’ajol"
Column1,"Ajtz’alam Jun Ajpu’ ruwaq  al, ruwaq ruk’ajol"
Column1,"K’a wowinäq q’ij chrij kikamik ri ajawa’ Jun Iq’, Lajuj No’j xechäp chïk ajawa’ Kaji’ Imox, B’eleje’ K’at"
Column1, Xa wi k’a xel  ri juwinäq waqi’ juna’ chrij ri yujuj
Column1,"Xe juwinäq q’ij chrij rokem ri B’eleje’ K’at,  juwinäq q’ij chrij ruchapon rajawarem, xb’an yujuj chi kikojol ri aj Tz’ikinajay"
Column1,"Xa kab’lajuj q’ij chrij xekäm chïk amaq’ Tz’utujile’ kuma ri Sotz’il, ri Tuquche’"
Column1,"K’a ri’ xeb’oqotäj, xe’oqotäx chïk pe ri aj Xe Kaqa_ab’äj konojel"
Column1,Chi b’eleje’ B’atz’ k’a xb’an k’a kamïk chuwi’ Laqam Ab’äj pa Chi Tulül
Column1, Chi julajuj Aj xel jumay waqi’ juna’ chrij ri yujuj
Column1,"Pa re juna’ re’ xk’is kan jun juna’ chrij ri nima_yab’il ch’a’k töq xeya’är wi qatata’, qamama’"
Column1,"Chupam re juna’ re’ xojk’ule’ ruk’in ite’, ïx nuk’ajol"
Column1, Chi waqxaqi’ Aj xel juwinäq wuqu’ juna’ chrij ri yujuj
Column1,Chupam re juna’ re’ xtikïr chïk lab’al kuk’in ri K’iche’ winäq
Column1," Chi wo’o’ Aj xel jumay waqxaqi’ juna’, xel juwinäq waqxaqi’ juna’ chrij yujuj"
Column1,"Wawe’ xtintz’ib’aj kan ri k’ulb’al, kaponib’al ri kastilan winäq Xe Tulül"
Column1,"K’ate chupam re juna’ re’ xe’apon, xe’ok pe ri kastilan winäq"
Column1,Tonatiw xapon chïk k’a Xe Lajub’
Column1,K’a ri’ xapon Tunatiw k’a pa tinamït Q’umarkaaj
Column1,"Chi kaji’ K’at k’a xeporöx ri ajawa’ ajpop, ri ajpop kamajay ruma Tunatiw"
Column1,Wawe’ xtintz’ib’aj kan achike qitzij xb’anatäj töq xapon chi Iximche’
Column1,Ja k’a chi ri q’ij jun Ajpu’ xe’apon ri kastilan winäq pa tinamït chi Iximche’
Column1,Kani k’a lab’al xuk’utuj Tunatiw chi ke ajawa’
Column1,Xa juwinäq wo’o’ q’ij chrij xel chïk jun b’ey pa tinamït
Column1,"Ja k’a chi lajuj Ajpu’ xetzolin pe, xe’apon chïk chi Iximche’"
Column1,Wawe’ xtintz’ib’aj kan achike xb’anatäj töq ri Tonatiw xuk’utuj pwäq
Column1, K’a ri’ xk’utüx k’a kipwaq ajawa’ ruma Tunatiw
Column1,"K’a ri’ xuq’ät, xuk’utuj Tunatiw oxq’o peso chi q’anapwäq"
Column1, 
Column1,"Qitzij k’a xnik’ajär ruya’ik ri pwäq chi re Tunatiw, k’a ri’ xuk’ut ri’ jun achin k’axtok’"
Column1,"Wawe’ xtintz’ib’aj kan achike xb’anatäj töq xojpax pa tinamït, töq xojel el pa juyu’"
Column1,Chi wuqu’ Ajmaq  k’a xb’an paxïk
Column1,K’a ri’ xena’öx ri ajawa’ ruma Tunatiw
Column1, Chi ka’i’ Aj xel jumay b’eleje’ juna’ chrij rub’anik yujuj
Column1,Chupam ri juwinäq lajuj juna’ chrij ri yujuj xajin na lab’al kuk’in ri kastilan winäq
Column1,"K’a ri’ xb’oqotäj, xoqotäj k’a el Tunatiw chi ruchi’ Xe Paw"
Column1, Chi ri q’ij kab’lajuj Aj xel jumay lajuj juna’ chrij ri lab’al
Column1,"Chupam re juna’ re’ xuxlan wi kan qak’u’x, xqato’ qi’"
Column1,"Jun juna’ ruk’in juwinäq q’ij chrij ri qelem chi Iximche’, töq xtole’ kan ruma Tunatiw, xe’apon chïk ri kastilan winäq Chi Xot"
Column1, Chi b’eleje’ Aj k’a xel jumay julajuj juna’ chrij ri yujuj
Column1,Chupam re juna’ re’ k’a xajin lab’al kuma ri kastilan winäq
Column1,Wawe’ xtintz’ib’aj kan achike xb’anatäj töq xkichäp rutojik ri patan
Column1,"Wolajwinäq q’ij chrij ruk’utuxik töj, rutaqik patan Chi Xot, xok ri patan"
Column1, Chi ri q’ij waqi’ Aj xel jumay kab’lajuj juna’ chrij ri yujuj
Column1,Waqxaqwinäq q’ij richin ruka’n juna’ chrij ri patanijïk xkäm ri ajaw Ajtun Kuk Tijax
Column1, Chi ri q’ij oxi’ Aj xel jumay oxlajuj juna’ chrij ri yujuj
Column1," Chupam re juna’ re’ xek’utun chïk ajawa’ Ajpop Sotz’il, Ajpop Xajil chuwäch Tunatiw"
Column1, Chi oxlajuj Aj xel jumay kajlajuj juna’ chrij ri yujuj
Column1,Chupam re juna’ re’ nxib’in chi patanijïk xb’an
Column1, Chi ri q’ij lajuj Aj xel jumay wolajuj juna’ chrij ri yujuj
Column1,"Kawinäq richin ri rox juna’ chrij kik’utunik ajawa, xkäm ri ajaw B’eleje’ K’at"
Column1, Chi ri q’ij wuqu’ Aj xel jumay waqlajuj juna’ chrij ri yujuj
Column1,"Wuqlajuj winäq q’ij chrij rukamik B’eleje’ K’at, xtijo chïk ruchapik ajaw don Jorge kuma ajawa’"
Column1, Chi ri q’ij kaji’ Aj xel jumay wuqlajuj juna’ chrij ri yujuj
Column1,"Chupam re juna’ re’ xujäch el ri ajaw Kaji’ Imox, ri Ajpop Sotz’il"
Column1, Chi ri q’ij jun Aj xel jumay waqxaqlajuj juna’ chrij ri yujuj
Column1,Chupam re jun juna’ re’ xb’e pa xulan Tunatiw
Column1, Chi ri q’ij julajuj Aj xel jumay b’elejlajuj juna’ chrij ri yujuj
Column1,Chupam re juna’ re’ chi  ri q’ij julajuj No’j xapon ajaw presidente Maldonado
Column1," Chi ri q’ij waqxaqi’ Aj xel rukamay chrij rub’anik yujuj, kawinäq juna’ kan xb’anatäj ri yujuj chi Iximche’"
Column1, Chi ri q’ij wo’o’ Aj xel jun juna’ chupam ri roxmay juna’ chrij ri yujuj
Column1,Petenäq ri ruka’n juna’ chi ri roxmay xtzolin pe ri ajaw Tunatiw
Column1,Ja töq xch’ay ri ajtz’ib’ Kawoq rub’i’  ruma ruchinamital
Column1, Chi ri q’ij ka’i’ Aj xel ruka’n juna’ richin ri roxmay chrij ri yujuj
