Sentence,Sentiment
"Qitzij töq xpakäk ruxe’ kaj, töq xpakapo’ pe, xeqa pe ri K’iche’ winäq chuwi’ juyu’",String
"Wawe’ xtintz’ib’aj kan rukamib’al ri ajaw Ich’al Amolak , kikamib’al ri ajawa’ Lajuj No’j, Chikumkuwat",String
Xek’oje’ ri Aqajal winäq chuwi’ tinamït,String
Kani k’a xekikot ajawa’ töq xel pe rutzijol ri ajaw Ich’al,String
K’a ri’ xel pe ajaw Ich’al,String
" Xa k’a e kitz’elawach’i’in chïk,  e koyob’en chïk töq xe’apon pa tinamït chi Iximche’",String
"Wawe’ xtintz’ib’aj kan kib’i’ ri rachijil, ri rachb’il, ri rachlab’al ri xekäm ruk’in",String
"K’a ri’ ri Kaqchikel ajawa’, ri Oxlajuj Tz’i’, Kab’lajuj Tijax xkik’waj ri lab’al chi ke ri kitinamit ri Aqajal winäq",String
Wawe’ xtintz’ib’aj kan achike xb’anatäj töq xekäm ri Ka’oqe’,String
" Ri Ka’oqe’ xek’oje’ pa kitinamit, Raxtun Ya’",String
"Wawe’ xtintz’ib’aj achike xb’anatäj töq xb’an yujuj, ch’aronïk ruma lab’al, chi Iximche’",String
" Xe ri ulew, ri tiko’n ja ri ruxe’el ri ch’a’oj ri’",String
"Xapon rutzijol ri k’ayewal kuk’in ri ajawa’ Oxlajuj Tz’i’, Kab’lajuj Tijax",String
K’a ri’ xch’ike’ ri q’ij richin ri yujuj,String
Wawe’ xtintz’ib’aj kan achike xb’anatäj töq xekäm ri Tuquche’,String
"Qitzij töq xpakatäj, töq nipakapo’ ruxe’ kaj chi julajuj Aj, xeb’os pe ri Tuquche’ ch’aqa tinamït",String
Rachk’amol b’ey ruk’in ri ajpop achi’ Sinajitoj ja ri’ Chukuy B’atz’in,String
K’a ri’ xb’os chïk k’a juch’ob’ ajlab’al pa nimab’ey chi Nimak’otoj,String
"Töq xpe k’a ri ramonela’ chi kij ri Tuquche’, kani k’a xkikajmaj",String
"Rujulajwinäq q’ij chrij ri yujuj, jun b’ey chïk xerajkäm chïk ri aj Tib’ak’oy kuma ri K’iche’ winäq",String
" Ruwaqlajwinäq q’ij chrij ri yujuj, xkäm ri ajaw Sinajitoj",String
K’a ri’ lajuj q’ij chuxe’ rutz’aqatirisanik jun juna’ chrij ri yujuj xjitz’äx ri ajaw ajtzij winäq aj Moxnay,String
 Chi waqxaqi’ Aj xel juna’ chrij ri yujuj,String
"Chuqa’ ri Tz’utujile’ ri xkik’ül ri winaqi’ Tuquche’ ri yek’ase’ chrij ri yujuj, xkinojij chi ütz ta nkitojtob’ej  kich’a’, kipokob’ kuk’in ri Kaqchikela’",String
 Chi wo’o’ Aj xel ruka’n juna’ chrij ri rub’anik yujuj,String
 Chi ka’i’ Aj xel oxi’ juna’ chrij rub’anik yujuj,String
Ja chi ri q’ij oxi’ Kej xb’an chïk yujuj K’iche’,String
 Chi kab’lajuj Aj xel rukaj juna’ chrij ri yujuj,String
"Chupam ri ro’ juna’ chrij ri yujuj, xekäm chïk aj Mixku’",String
"K’a ri’ xekäm chïk k’a ri Yaki’,  e aj Xiwiku’, e Mexika",String
"Waqi’ q’ij chuxe’ ri ro’ rujunab’il yujuj, ri Aqajal winäq xeyakatäj jun b’ey chïk",String
 Chi ri q’ij b’eleje’ Aj xel wo’o’ juna’ chrij rub’anik yujuj,String
 Chi ri q’ij waqi’ Aj xel ruwaq juna’ chrij ri yujuj,String
 Chi oxi’ Aj xel ruwuq juna’ chrij ri yujuj,String
Chupam ruwaqxaq juna’ chrij ri yujuj xkäm chïk ri Tz’utujile’ kuma ri aj Xe’ Inup,String
 Chi oxlajuj Aj xel waqxaqi’ juna’ chrij ri yujuj,String
 Chi lajuj Aj xel rub’elej juna’ chrij ri yujuj,String
"Kab’lajuj q’ij xuxe’ ri rulaj junab’il yujuj,  qamama’ Oxlajuj Tz’i’ xutzin, xujotob’a’ rupoqob’, rochoch, raqän jay, runimajay",String
 Chi wuqu’ Aj xel  rulajuj juna’ chrij ri yujuj,String
 Chi kaji’ Aj xel rujulaj juna’ chrij ri yujuj,String
 Chi jun Aj xel rukab’laj juna’ chrij ri yujuj,String
 Chi julajuj Aj k’a xel roxlajuj juna’ chrij ri yujuj,String
Chi ri q’ij oxlajuj Tz’ikin xkäm ri ixöq xoqojaw Wo’o’ Kej rub’i’,String
"K’a ri’ xe jub’a’ chïk rajowan richin ta nel pe rukajlaj juna’ chrij ri yujuj, töq xkäm ri ajaw Oxlajuj Tz’i’, qamama’",String
 Jun Iq’ rub’i’ ri nab’ey ruk’ajol,String
" Waqi’ Ajmaq rub’i’ ruka’n al, ruka’n ruk’ajol",String
" No’j k’a ri rox al, rox ruk’ajol",String
" B’eleje’ K’at rub’i’ ri rukaj al, rukaj ruk’ajol",String
" Imox ri ro’ al, ro’ ruk’ajol",String
 Ri ruwaq ruk’ajol  chuqa’ xaläx pa ri q’ij No’j; No’j ruwaq ruk’ajol,String
"Maqu’ Xq’ujay rub’i’ ri xoqojaw, rixjayil ri ajaw Oxlajuj Tz’i’",String
Xek’oje’ ka’i’ chïk ixoqi’ xe’alan,String
 Chi waqxaqi’ Aj k’a xel rukajlaj juna’ chrij ri yujuj,String
K’a ri’ xkäm ri ajaw Kab’lajuj Tijax,String
 Chi wo’o’ Aj k’a xel rolaj juna’ chrij rub’anik yujuj,String
K’a ri’ xajawär chïk k’a ri ajaw Lajuj No’j rub’i’; rija’ ri nab’ey ruk’ajol ri ajaw Kab’lajuj Tijax,String
"K’a ri’ xepe ri Yaki’, ri aj Kuluwakan, aj México",String
"K’a ja k’a qitzij xqatz’ët töq xe’apon ri Yaki’, aj Kuluwakan",String
 Chi ri q’ij ka’i’ Aj xel ruwaqlaj juna’ chrij rub’anik yujuj,String
Chupam re juna’ re’ xok chïk lab’al chi kiwäch K’iche’ winäq,String
 Chi kab’lajuj Aj xel ruwuqlaj juna’ chrij rub’anik yujuj,String
 Chi b’eleje’ Aj xel chïk waqxaqlajuj juna’ chrij yujuj,String
Chupam re juna’ re’ xe’ik’o chiköpi’ xchechel üt,String
"K’a wowinäq q’ij chrij ri xe’ik’o taq uti’,  k’a ri’ xe’ik’o chïk k’a taq sak’",String
" K’a b’elejwinäq q’ij, k’a rub’elej ik’ xk’at chi Iximche’",String
 Chi waqxaqi’ Aj xel b’eleje’ juna’ chrij ri yujuj,String
"Chupam re juna’ re’ xekäm chïk K’iche’ winäq pa Sotz’il Ya’, kuma imama’",String
Jumul chïk k’a xeya’är K’iche’ winäq,String
" Chi oxi’ Aj k’a xel jumay, juwinäq juna’ chrij rukamik Tuquche’, chrij rub’anik yujuj",String
" Ja k’a chi oxlajuj Aj xel chïk nab’ey juna’ rukamay, juwinäq jun juna’ chrij ri yujuj",String
" Chupam re juna’ re’ xik’o chïk poqob’, rutem jay, rutem parab’äl chuwi’ Kaqjay ruma ajaw Lajuj No’j",String
" Xel k’a ruka’n juna’ rukamay, juwinäq ka’i’ juna’ chrij ri yujuj, chi lajuj Aj xel wi",String
"Chupam re juna’ re’ xekäm chïk K’iche’ winäq kuma qatata’, qamama’",String
" Chi wuqu’ Aj xel rox juna’ rukamay yujuj,  xel juwinäq oxi’ juna’ chrij ri rub’anik yujuj",String
" Chi kaji’ Aj xel chïk rukaj juna’ rukamay yujuj, xel juwinäq kaji’ juna’ chrij ri yujuj",String
"Chupam ri ro’ juna’ rukamay, ri juwinäq wo’o’ juna’ wawe’ xtikïr ri yawab’il, ri nimaläj yab’il, ïx nuk’ajol",String
 Chi jun Aj xel jumay wo’o’ juna’ chrij ri yujuj,String
"Chupam re juna’ re’ xyawab’ïx, xeyawäj chi ch’a’k",String
"Kawinäq q’ij chrij ri rutikirib’al, rokem ri yab’il, xekäm qatata’, qamama’",String
"Xa k’a rukab’ij, ka’i’ q’ij chrij, xkäm chïk qatata’  rajpop achin B’alam, ri imama’, ïx nuk’ajol",String
Wawe’ xtintz’ib’aj kan ri kib’i’ imama’ ri xeruk’ajolaj ri ajaw,String
Rajpop achin B’alam rub’i’ ri nab’ey ruk’ajol ri ajaw Jun Iq’,String
"Ajmaq rub’i’ ruka’n al, ja ruk’ajol kan ri don Pedro Solís",String
"Ja k’a qatata’, Francisco, rajpop achin Tz’i’an ri rukaj al, rukaj ruk’ajol ri ajaw Jun Iq’",String
"B’alam ri ro’ al, ro’ ruk’ajol",String
"Ajtz’alam Jun Ajpu’ ruwaq  al, ruwaq ruk’ajol",String
"K’a wowinäq q’ij chrij kikamik ri ajawa’ Jun Iq’, Lajuj No’j xechäp chïk ajawa’ Kaji’ Imox, B’eleje’ K’at",String
 Xa wi k’a xel  ri juwinäq waqi’ juna’ chrij ri yujuj,String
"Xe juwinäq q’ij chrij rokem ri B’eleje’ K’at,  juwinäq q’ij chrij ruchapon rajawarem, xb’an yujuj chi kikojol ri aj Tz’ikinajay",String
"Xa kab’lajuj q’ij chrij xekäm chïk amaq’ Tz’utujile’ kuma ri Sotz’il, ri Tuquche’",String
"K’a ri’ xeb’oqotäj, xe’oqotäx chïk pe ri aj Xe Kaqa_ab’äj konojel",String
Chi b’eleje’ B’atz’ k’a xb’an k’a kamïk chuwi’ Laqam Ab’äj pa Chi Tulül,String
 Chi julajuj Aj xel jumay waqi’ juna’ chrij ri yujuj,String
"Pa re juna’ re’ xk’is kan jun juna’ chrij ri nima_yab’il ch’a’k töq xeya’är wi qatata’, qamama’",String
"Chupam re juna’ re’ xojk’ule’ ruk’in ite’, ïx nuk’ajol",String
 Chi waqxaqi’ Aj xel juwinäq wuqu’ juna’ chrij ri yujuj,String
Chupam re juna’ re’ xtikïr chïk lab’al kuk’in ri K’iche’ winäq,String
" Chi wo’o’ Aj xel jumay waqxaqi’ juna’, xel juwinäq waqxaqi’ juna’ chrij yujuj",String
"Wawe’ xtintz’ib’aj kan ri k’ulb’al, kaponib’al ri kastilan winäq Xe Tulül",String
"K’ate chupam re juna’ re’ xe’apon, xe’ok pe ri kastilan winäq",String
Tonatiw xapon chïk k’a Xe Lajub’,String
K’a ri’ xapon Tunatiw k’a pa tinamït Q’umarkaaj,String
"Chi kaji’ K’at k’a xeporöx ri ajawa’ ajpop, ri ajpop kamajay ruma Tunatiw",String
Wawe’ xtintz’ib’aj kan achike qitzij xb’anatäj töq xapon chi Iximche’,String
Ja k’a chi ri q’ij jun Ajpu’ xe’apon ri kastilan winäq pa tinamït chi Iximche’,String
Kani k’a lab’al xuk’utuj Tunatiw chi ke ajawa’,String
Xa juwinäq wo’o’ q’ij chrij xel chïk jun b’ey pa tinamït,String
"Ja k’a chi lajuj Ajpu’ xetzolin pe, xe’apon chïk chi Iximche’",String
Wawe’ xtintz’ib’aj kan achike xb’anatäj töq ri Tonatiw xuk’utuj pwäq,String
 K’a ri’ xk’utüx k’a kipwaq ajawa’ ruma Tunatiw,String
"K’a ri’ xuq’ät, xuk’utuj Tunatiw oxq’o peso chi q’anapwäq",String
"Qitzij k’a xnik’ajär ruya’ik ri pwäq chi re Tunatiw, k’a ri’ xuk’ut ri’ jun achin k’axtok’",String
"Wawe’ xtintz’ib’aj kan achike xb’anatäj töq xojpax pa tinamït, töq xojel el pa juyu’",String
Chi wuqu’ Ajmaq  k’a xb’an paxïk,String
K’a ri’ xena’öx ri ajawa’ ruma Tunatiw,String
 Chi ka’i’ Aj xel jumay b’eleje’ juna’ chrij rub’anik yujuj,String
Chupam ri juwinäq lajuj juna’ chrij ri yujuj xajin na lab’al kuk’in ri kastilan winäq,String
"K’a ri’ xb’oqotäj, xoqotäj k’a el Tunatiw chi ruchi’ Xe Paw",String
 Chi ri q’ij kab’lajuj Aj xel jumay lajuj juna’ chrij ri lab’al,String
"Chupam re juna’ re’ xuxlan wi kan qak’u’x, xqato’ qi’",String
"Jun juna’ ruk’in juwinäq q’ij chrij ri qelem chi Iximche’, töq xtole’ kan ruma Tunatiw, xe’apon chïk ri kastilan winäq Chi Xot",String
 Chi b’eleje’ Aj k’a xel jumay julajuj juna’ chrij ri yujuj,String
Chupam re juna’ re’ k’a xajin lab’al kuma ri kastilan winäq,String
Wawe’ xtintz’ib’aj kan achike xb’anatäj töq xkichäp rutojik ri patan,String
"Wolajwinäq q’ij chrij ruk’utuxik töj, rutaqik patan Chi Xot, xok ri patan",String
 Chi ri q’ij waqi’ Aj xel jumay kab’lajuj juna’ chrij ri yujuj,String
Waqxaqwinäq q’ij richin ruka’n juna’ chrij ri patanijïk xkäm ri ajaw Ajtun Kuk Tijax,String
 Chi ri q’ij oxi’ Aj xel jumay oxlajuj juna’ chrij ri yujuj,String
" Chupam re juna’ re’ xek’utun chïk ajawa’ Ajpop Sotz’il, Ajpop Xajil chuwäch Tunatiw",String
 Chi oxlajuj Aj xel jumay kajlajuj juna’ chrij ri yujuj,String
Chupam re juna’ re’ nxib’in chi patanijïk xb’an,String
 Chi ri q’ij lajuj Aj xel jumay wolajuj juna’ chrij ri yujuj,String
"Kawinäq richin ri rox juna’ chrij kik’utunik ajawa, xkäm ri ajaw B’eleje’ K’at",String
 Chi ri q’ij wuqu’ Aj xel jumay waqlajuj juna’ chrij ri yujuj,String
"Wuqlajuj winäq q’ij chrij rukamik B’eleje’ K’at, xtijo chïk ruchapik ajaw don Jorge kuma ajawa’",String
 Chi ri q’ij kaji’ Aj xel jumay wuqlajuj juna’ chrij ri yujuj,String
"Chupam re juna’ re’ xujäch el ri ajaw Kaji’ Imox, ri Ajpop Sotz’il",String
 Chi ri q’ij jun Aj xel jumay waqxaqlajuj juna’ chrij ri yujuj,String
Chupam re jun juna’ re’ xb’e pa xulan Tunatiw,String
 Chi ri q’ij julajuj Aj xel jumay b’elejlajuj juna’ chrij ri yujuj,String
Chupam re juna’ re’ chi  ri q’ij julajuj No’j xapon ajaw presidente Maldonado,String
" Chi ri q’ij waqxaqi’ Aj xel rukamay chrij rub’anik yujuj, kawinäq juna’ kan xb’anatäj ri yujuj chi Iximche’",String
 Chi ri q’ij wo’o’ Aj xel jun juna’ chupam ri roxmay juna’ chrij ri yujuj,String
Petenäq ri ruka’n juna’ chi ri roxmay xtzolin pe ri ajaw Tunatiw,String
Ja töq xch’ay ri ajtz’ib’ Kawoq rub’i’  ruma ruchinamital,String
 Chi ri q’ij ka’i’ Aj xel ruka’n juna’ richin ri roxmay chrij ri yujuj,String
"Waqwinäq q’ij chrij xkäm ri ajtz’ib’, ri xch’ay, ri xch’ayöx",String
"Xa lajuj winäq q’ij chrij rokem, raponem Tunatiw, xjitz’äx ajaw Ajpo Sotz’il, Kaji’  Imox",String
 Chi kab’lajuj Aj xel rox juna’ richin ri roxmay chrij ri yujuj,String
"Xkajlajuj winäq q’ij chrij töq xjitz’äx ri ajaw Ajpo Sotz’il,  xkijitz’aj ajaw Chu’y Tz’ikinu’ pa tinamït",String
 Xa k’a ruwuqlaj q’ij chrij rere’ xejitz’äx chïk ri ajawa’ ri xejitz’an Chu’y Tz’ikinu’,String
"K’a wowinäq q’ij chrij rujitz’axik ajaw Ch’ikb’al, xpe rutzijol rukamik Tunatiw",String
 Chi ri q’ij b’eleje’ Aj xel kaji’ juna’ chupam ri roxmay chrij ri yujuj,String
"Chupam re juna’ re’ nimaläj ul xpe, xb’an nima_ulaläj",String
Wawe’  xtintz’ib’aj kan achike xb’anatäj töq xtikïr qatijoxik chrij ri na’oj católico,String
